Year,Month,Day,Hour,Minute,Second,HYY_DMPS.tconc
2023,01,26,19,00,00,1966.96267
2023,01,26,20,00,00,3064.94287
2023,01,26,21,00,00,3571.19999
2023,01,26,22,00,00,3648.83053
2023,01,26,23,00,00,3439.78914
2023,01,27,00,00,00,3097.66032
2023,01,27,01,00,00,3008.92147
2023,01,27,02,00,00,3064.9233
2023,01,27,03,00,00,3094.71513
2023,01,27,04,00,00,3130.07011
2023,01,27,05,00,00,2969.01249
2023,01,27,06,00,00,2739.75997
2023,01,27,07,00,00,2527.22249
2023,01,27,08,00,00,7430.78442
2023,01,27,09,00,00,2087.86985
2023,01,27,10,00,00,2272.933
2023,01,27,11,00,00,1623.97898
2023,01,27,12,00,00,1513.38265
2023,01,27,13,00,00,1690.77861
2023,01,27,14,00,00,1938.46466
2023,01,27,15,00,00,2443.36733
2023,01,27,16,00,00,2018.70819
2023,01,27,17,00,00,1709.16199
2023,01,27,18,00,00,1100.63332
2023,01,27,19,00,00,927.58056
2023,01,27,20,00,00,915.25895
2023,01,27,21,00,00,819.46028
2023,01,27,22,00,00,1007.45044
2023,01,27,23,00,00,829.25991
2023,01,28,00,00,00,728.25976
2023,01,28,01,00,00,814.82973
2023,01,28,02,00,00,931.89936
2023,01,28,03,00,00,940.96855
2023,01,28,04,00,00,1055.53334
2023,01,28,05,00,00,1158.20367
2023,01,28,06,00,00,1079.32594
2023,01,28,07,00,00,960.94732
2023,01,28,08,00,00,957.46253
2023,01,28,09,00,00,1068.60905
2023,01,28,10,00,00,1003.69674
2023,01,28,11,00,00,835.39712
2023,01,28,12,00,00,886.01629
2023,01,28,13,00,00,818.84628
2023,01,28,14,00,00,912.20774
2023,01,28,15,00,00,800.93392
2023,01,28,16,00,00,772.9601
2023,01,28,17,00,00,628.06061
2023,01,28,18,00,00,522.86124
2023,01,28,19,00,00,625.88526
2023,01,28,20,00,00,742.20637
2023,01,28,21,00,00,846.86669
2023,01,28,22,00,00,1113.95842
2023,01,28,23,00,00,1209.77248
2023,01,29,00,00,00,1024.09371
2023,01,29,01,00,00,813.71032
2023,01,29,02,00,00,605.50612
2023,01,29,03,00,00,456.495
2023,01,29,04,00,00,397.43532
2023,01,29,05,00,00,411.14434
2023,01,29,06,00,00,540.16245
2023,01,29,07,00,00,588.08835
2023,01,29,08,00,00,636.45991
2023,01,29,09,00,00,782.09768
2023,01,29,10,00,00,741.73198
2023,01,29,11,00,00,1209.00438
2023,01,29,12,00,00,1724.17816
2023,01,29,13,00,00,1678.87
2023,01,29,14,00,00,1383.33335
2023,01,29,15,00,00,1364.427
2023,01,29,16,00,00,1364.98718
2023,01,29,17,00,00,1491.35217
2023,01,29,18,00,00,1419.52732
2023,01,29,19,00,00,1274.89264
2023,01,29,20,00,00,864.83545
2023,01,29,21,00,00,752.49542
2023,01,29,22,00,00,590.81963
2023,01,29,23,00,00,416.61602
2023,01,30,00,00,00,309.4095
2023,01,30,01,00,00,272.33308
2023,01,30,02,00,00,262.01922
2023,01,30,03,00,00,234.32892
2023,01,30,04,00,00,206.06034
2023,01,30,05,00,00,183.20781
2023,01,30,06,00,00,207.17292
2023,01,30,07,00,00,216.21173
2023,01,30,08,00,00,525.8916
2023,01,30,09,00,00,312.97295
2023,01,30,10,00,00,491.07483
2023,01,30,11,00,00,861.75365
2023,01,30,12,00,00,1061.12903
2023,01,30,13,00,00,861.44918
2023,01,30,14,00,00,1072.07516
2023,01,30,15,00,00,842.67748
2023,01,30,16,00,00,633.37963
2023,01,30,17,00,00,422.26403
2023,01,30,18,00,00,327.87055
2023,01,30,19,00,00,315.0051
2023,01,30,20,00,00,250.93921
2023,01,30,21,00,00,240.82995
2023,01,30,22,00,00,212.25833
2023,01,30,23,00,00,191.0228
2023,01,31,00,00,00,212.32138
2023,01,31,01,00,00,225.92483
2023,01,31,02,00,00,252.82321
2023,01,31,03,00,00,219.09807
2023,01,31,04,00,00,242.05393
2023,01,31,05,00,00,242.09774
2023,01,31,06,00,00,255.5842
2023,01,31,07,00,00,252.37475
2023,01,31,08,00,00,401.64707
2023,01,31,09,00,00,442.33808
2023,01,31,10,00,00,773.91547
2023,01,31,11,00,00,1159.54431
2023,01,31,12,00,00,582.73932
2023,01,31,13,00,00,416.26071
2023,01,31,14,00,00,375.39105
2023,01,31,15,00,00,301.16811
2023,01,31,16,00,00,221.50983
2023,01,31,17,00,00,232.75112
2023,01,31,18,00,00,217.35484
2023,01,31,19,00,00,207.10148
2023,01,31,20,00,00,220.70247
2023,01,31,21,00,00,259.01746
2023,01,31,22,00,00,342.9507
2023,01,31,23,00,00,378.4523
2023,02,01,00,00,00,403.43678
2023,02,01,01,00,00,410.46723
2023,02,01,02,00,00,374.3938
2023,02,01,03,00,00,436.63763
2023,02,01,04,00,00,577.55769
2023,02,01,05,00,00,681.49326
2023,02,01,06,00,00,815.88461
2023,02,01,07,00,00,1046.13903
2023,02,01,08,00,00,2873.32985
2023,02,01,09,00,00,1920.22532
2023,02,01,10,00,00,1364.10817
2023,02,01,11,00,00,1706.44784
