Year,Month,Day,Hour,Minute,Second,HYY_AERO.cn
2023,01,24,01,00,00,366.63348
2023,01,24,02,00,00,356.71152
2023,01,24,03,00,00,363.06273
2023,01,24,04,00,00,429.05545
2023,01,24,05,00,00,427.46682
2023,01,24,06,00,00,383.60576
2023,01,24,07,00,00,372.81909
2023,01,24,08,00,00,383.77364
2023,01,24,09,00,00,399.67848
2023,01,24,10,00,00,384.58076
2023,01,24,11,00,00,396.275
2023,01,24,12,00,00,404.38061
2023,01,24,13,00,00,483.98469
2023,01,24,14,00,00,402.57652
2023,01,24,15,00,00,411.61834
2023,01,24,16,00,00,415.55409
2023,01,24,17,00,00,476.13621
2023,01,24,18,00,00,592.22091
2023,01,24,19,00,00,415.63651
2023,01,24,20,00,00,403.08621
2023,01,24,21,00,00,347.28424
2023,01,24,22,00,00,283.53712
2023,01,24,23,00,00,241.10258
2023,01,25,00,00,00,202.71076
2023,01,25,01,00,00,203.90758
2023,01,25,02,00,00,216.87197
2023,01,25,03,00,00,144.75757
2023,01,25,04,00,00,151.64455
2023,01,25,05,00,00,142.08606
2023,01,25,06,00,00,111.67015
2023,01,25,07,00,00,120.9894
2023,01,25,08,00,00,171.84393
2023,01,25,09,00,00,169.63758
2023,01,25,10,00,00,186.14546
2023,01,25,11,00,00,194.08273
2023,01,25,12,00,00,220.50121
2023,01,25,13,00,00,264.02878
2023,01,25,14,00,00,285.28409
2023,01,25,15,00,00,277.72045
2023,01,25,16,00,00,297.01848
2023,01,25,17,00,00,309.75303
2023,01,25,18,00,00,296.98394
2023,01,25,19,00,00,294.70894
2023,01,25,20,00,00,327.56894
2023,01,25,21,00,00,393.80849
2023,01,25,22,00,00,471.00713
2023,01,25,23,00,00,570.77924
2023,01,26,00,00,00,702.355
2023,01,26,01,00,00,847.285
2023,01,26,02,00,00,983.02636
2023,01,26,03,00,00,1111.4614
2023,01,26,04,00,00,1254.22619
2023,01,26,05,00,00,1422.4091
2023,01,26,06,00,00,1674.024
2023,01,26,07,00,00,2326.32093
2023,01,26,08,00,00,1711.6069
2023,01,26,09,00,00,1319.98123
2023,01,26,10,00,00,583.24606
2023,01,26,11,00,00,307.79182
2023,01,26,12,00,00,423.99788
2023,01,26,13,00,00,984.15403
